model,key,step,MAE,RMSE
Persistence,persistence,1,11.741631507873535,43.650203704833984
Persistence,persistence,2,14.187671661376953,45.46653366088867
Persistence,persistence,3,15.970471382141113,47.146507263183594
Persistence,persistence,4,17.066165924072266,47.57865524291992
Persistence,persistence,5,18.66586685180664,49.36678695678711
Persistence,persistence,6,20.012235641479492,50.0036506652832
Persistence,persistence,7,24.366477966308594,56.52468490600586
Persistence,persistence,8,42.606956481933594,85.85629272460938
Persistence,persistence,9,49.15361022949219,95.38133239746094
Persistence,persistence,10,53.55390548706055,100.65303039550781
Persistence,persistence,11,55.990291595458984,102.14474487304688
Persistence,persistence,12,55.95201873779297,102.56876373291016
Persistence,persistence,13,54.31998062133789,96.55923461914062
Persistence,persistence,14,53.21931076049805,94.12018585205078
Persistence,persistence,15,51.95053482055664,92.47352600097656
Persistence,persistence,16,50.89405059814453,91.99376678466797
Persistence,persistence,17,49.75243377685547,94.12716674804688
Persistence,persistence,18,48.697059631347656,97.71499633789062
Persistence,persistence,19,43.54154968261719,94.81250762939453
Persistence,persistence,20,38.11092758178711,86.11271667480469
Persistence,persistence,21,33.220558166503906,76.24979400634766
Persistence,persistence,22,24.84574317932129,59.9760627746582
Persistence,persistence,23,18.329687118530273,51.707191467285156
Persistence,persistence,24,14.869376182556152,47.39128494262695
Seasonal-naive,seasonal_naive,1,13.151069641113281,44.08436584472656
Seasonal-naive,seasonal_naive,2,13.001888275146484,44.067623138427734
Seasonal-naive,seasonal_naive,3,13.073697090148926,44.811946868896484
Seasonal-naive,seasonal_naive,4,13.043204307556152,43.771461486816406
Seasonal-naive,seasonal_naive,5,13.75251579284668,44.43557357788086
Seasonal-naive,seasonal_naive,6,14.668599128723145,45.77384567260742
Seasonal-naive,seasonal_naive,7,16.699132919311523,48.736324310302734
Seasonal-naive,seasonal_naive,8,21.878559112548828,53.91709518432617
Seasonal-naive,seasonal_naive,9,22.877286911010742,53.9410285949707
Seasonal-naive,seasonal_naive,10,25.35431671142578,57.07004165649414
Seasonal-naive,seasonal_naive,11,26.744361877441406,61.1170654296875
Seasonal-naive,seasonal_naive,12,27.4934139251709,68.01978302001953
Seasonal-naive,seasonal_naive,13,26.100727081298828,58.59126281738281
Seasonal-naive,seasonal_naive,14,25.01378059387207,55.409297943115234
Seasonal-naive,seasonal_naive,15,25.028688430786133,55.54015350341797
Seasonal-naive,seasonal_naive,16,24.957862854003906,54.90938186645508
Seasonal-naive,seasonal_naive,17,23.175683975219727,52.87954330444336
Seasonal-naive,seasonal_naive,18,22.130247116088867,51.771812438964844
Seasonal-naive,seasonal_naive,19,20.13579559326172,50.92151641845703
Seasonal-naive,seasonal_naive,20,19.721996307373047,53.247894287109375
Seasonal-naive,seasonal_naive,21,20.16988182067871,55.054725646972656
Seasonal-naive,seasonal_naive,22,17.361555099487305,50.06888198852539
Seasonal-naive,seasonal_naive,23,16.087446212768555,49.00708770751953
Seasonal-naive,seasonal_naive,24,14.869376182556152,47.39128494262695
Ridge,linear,1,16.20888328552246,48.579315185546875
Ridge,linear,2,16.454750061035156,48.85678482055664
Ridge,linear,3,16.64093017578125,49.39967346191406
Ridge,linear,4,16.289758682250977,48.336185455322266
Ridge,linear,5,16.647733688354492,48.21419143676758
Ridge,linear,6,17.12176513671875,48.602516174316406
Ridge,linear,7,18.865556716918945,51.09620666503906
Ridge,linear,8,23.315216064453125,54.377628326416016
Ridge,linear,9,24.8684024810791,54.72224426269531
Ridge,linear,10,25.655378341674805,55.686275482177734
Ridge,linear,11,26.469585418701172,58.305240631103516
Ridge,linear,12,26.34065818786621,60.97748947143555
Ridge,linear,13,25.41961097717285,56.19679641723633
Ridge,linear,14,24.417564392089844,53.44367599487305
Ridge,linear,15,24.041229248046875,53.35342025756836
Ridge,linear,16,23.728315353393555,53.200687408447266
Ridge,linear,17,22.207855224609375,51.841304779052734
Ridge,linear,18,21.88303565979004,52.0771598815918
Ridge,linear,19,21.514265060424805,52.91263961791992
Ridge,linear,20,21.564624786376953,54.509674072265625
Ridge,linear,21,21.281103134155273,54.16829299926758
Ridge,linear,22,18.83500099182129,51.14653778076172
Ridge,linear,23,18.688718795776367,51.471473693847656
Ridge,linear,24,17.863401412963867,50.578399658203125
LightGBM,lightgbm,1,9.481754302978516,34.6160888671875
LightGBM,lightgbm,2,10.165274620056152,35.38679122924805
LightGBM,lightgbm,3,10.51779842376709,36.25434494018555
LightGBM,lightgbm,4,10.509641647338867,35.32061004638672
LightGBM,lightgbm,5,11.162057876586914,35.81138610839844
LightGBM,lightgbm,6,11.79370403289795,36.81354522705078
LightGBM,lightgbm,7,13.173653602600098,39.18130111694336
LightGBM,lightgbm,8,14.968053817749023,40.34572219848633
LightGBM,lightgbm,9,15.428292274475098,40.13180923461914
LightGBM,lightgbm,10,16.741788864135742,42.17354965209961
LightGBM,lightgbm,11,17.644060134887695,44.404781341552734
LightGBM,lightgbm,12,17.9254150390625,48.47692108154297
LightGBM,lightgbm,13,17.223201751708984,42.93914031982422
LightGBM,lightgbm,14,16.663591384887695,40.25688171386719
LightGBM,lightgbm,15,16.617704391479492,40.589881896972656
LightGBM,lightgbm,16,16.975910186767578,40.783119201660156
LightGBM,lightgbm,17,15.995135307312012,39.661922454833984
LightGBM,lightgbm,18,15.78106689453125,39.68692398071289
LightGBM,lightgbm,19,15.204102516174316,39.764556884765625
LightGBM,lightgbm,20,14.811650276184082,41.37663650512695
LightGBM,lightgbm,21,15.29880142211914,42.03684616088867
LightGBM,lightgbm,22,14.000838279724121,40.5190315246582
LightGBM,lightgbm,23,13.715048789978027,40.64232635498047
LightGBM,lightgbm,24,13.012085914611816,39.78566360473633
LSTM,lstm,1,9.753692626953125,37.53279495239258
LSTM,lstm,2,9.732147216796875,36.33628845214844
LSTM,lstm,3,10.127389907836914,36.45864486694336
LSTM,lstm,4,10.66271686553955,35.70372009277344
LSTM,lstm,5,12.224970817565918,37.13832473754883
LSTM,lstm,6,13.569244384765625,39.05604934692383
LSTM,lstm,7,19.588958740234375,54.03765869140625
LSTM,lstm,8,15.783696174621582,42.00266647338867
LSTM,lstm,9,18.32699203491211,45.16255569458008
LSTM,lstm,10,21.5184383392334,52.74579620361328
LSTM,lstm,11,23.54681968688965,58.411705017089844
LSTM,lstm,12,24.189298629760742,62.959712982177734
LSTM,lstm,13,24.01081657409668,59.905128479003906
LSTM,lstm,14,23.7122745513916,58.32406997680664
LSTM,lstm,15,23.129661560058594,56.488555908203125
LSTM,lstm,16,23.24284553527832,55.42168045043945
LSTM,lstm,17,23.277624130249023,55.22184371948242
LSTM,lstm,18,22.926395416259766,55.18104934692383
LSTM,lstm,19,20.706052780151367,51.98344421386719
LSTM,lstm,20,18.76717758178711,50.30128479003906
LSTM,lstm,21,17.05595588684082,45.44041061401367
LSTM,lstm,22,15.744422912597656,43.798744201660156
LSTM,lstm,23,15.174417495727539,43.92839050292969
LSTM,lstm,24,15.039016723632812,43.162052154541016
GRU,gru,1,9.443093299865723,36.424285888671875
GRU,gru,2,9.383628845214844,35.2122688293457
GRU,gru,3,9.764583587646484,36.004268646240234
GRU,gru,4,10.316398620605469,35.52749252319336
GRU,gru,5,11.499153137207031,36.74348831176758
GRU,gru,6,11.96950912475586,37.16347122192383
GRU,gru,7,16.12554359436035,44.95903396606445
GRU,gru,8,16.254125595092773,42.62617111206055
GRU,gru,9,16.21953582763672,41.8408317565918
GRU,gru,10,17.664567947387695,44.7552375793457
GRU,gru,11,19.43769645690918,48.180049896240234
GRU,gru,12,19.960315704345703,52.43912887573242
GRU,gru,13,19.60017967224121,48.42848587036133
GRU,gru,14,19.580638885498047,46.94387435913086
GRU,gru,15,19.00301170349121,46.284244537353516
GRU,gru,16,18.483516693115234,45.44981002807617
GRU,gru,17,18.221879959106445,45.09528732299805
GRU,gru,18,18.360885620117188,46.02077102661133
GRU,gru,19,18.159698486328125,46.39448165893555
GRU,gru,20,17.688106536865234,46.77793502807617
GRU,gru,21,15.976824760437012,43.25420379638672
GRU,gru,22,14.62134075164795,41.283199310302734
GRU,gru,23,13.939552307128906,41.266822814941406
GRU,gru,24,13.614749908447266,40.57319259643555
TCN,tcn,1,9.882392883300781,35.07524108886719
TCN,tcn,2,10.376423835754395,35.60786437988281
TCN,tcn,3,10.761648178100586,36.20625305175781
TCN,tcn,4,11.065281867980957,35.42496109008789
TCN,tcn,5,12.253520011901855,36.417877197265625
TCN,tcn,6,13.746060371398926,38.42851638793945
TCN,tcn,7,18.910415649414062,48.777042388916016
TCN,tcn,8,18.330108642578125,43.72740173339844
TCN,tcn,9,19.093017578125,43.78437423706055
TCN,tcn,10,20.705360412597656,46.382686614990234
TCN,tcn,11,21.86678123474121,49.21541976928711
TCN,tcn,12,21.992767333984375,52.83007049560547
TCN,tcn,13,21.39813232421875,48.602294921875
TCN,tcn,14,21.184328079223633,46.41682052612305
TCN,tcn,15,20.492406845092773,46.18056106567383
TCN,tcn,16,19.671689987182617,45.03941345214844
TCN,tcn,17,19.712270736694336,44.88795852661133
TCN,tcn,18,21.020092010498047,47.64545440673828
TCN,tcn,19,20.573978424072266,48.20512390136719
TCN,tcn,20,19.01510238647461,46.97043228149414
TCN,tcn,21,17.07917022705078,43.33411407470703
TCN,tcn,22,15.326021194458008,41.2710075378418
TCN,tcn,23,15.482499122619629,41.63520431518555
TCN,tcn,24,13.769399642944336,40.09614944458008
CNN-LSTM,cnn_lstm,1,9.798383712768555,36.21215057373047
CNN-LSTM,cnn_lstm,2,10.046745300292969,36.69312286376953
CNN-LSTM,cnn_lstm,3,10.313414573669434,37.48162841796875
CNN-LSTM,cnn_lstm,4,10.617308616638184,37.00274658203125
CNN-LSTM,cnn_lstm,5,11.839406967163086,38.2266731262207
CNN-LSTM,cnn_lstm,6,12.988640785217285,39.41250991821289
CNN-LSTM,cnn_lstm,7,17.573410034179688,48.31623840332031
CNN-LSTM,cnn_lstm,8,17.490753173828125,45.132774353027344
CNN-LSTM,cnn_lstm,9,16.95539665222168,43.862152099609375
CNN-LSTM,cnn_lstm,10,18.08012580871582,45.83930969238281
CNN-LSTM,cnn_lstm,11,19.39704704284668,48.18113327026367
CNN-LSTM,cnn_lstm,12,19.770841598510742,51.72822189331055
CNN-LSTM,cnn_lstm,13,19.274471282958984,47.5241813659668
CNN-LSTM,cnn_lstm,14,19.441755294799805,45.708492279052734
CNN-LSTM,cnn_lstm,15,19.05522346496582,45.665138244628906
CNN-LSTM,cnn_lstm,16,18.82650375366211,45.079593658447266
CNN-LSTM,cnn_lstm,17,18.559215545654297,44.56235122680664
CNN-LSTM,cnn_lstm,18,19.415828704833984,46.16386413574219
CNN-LSTM,cnn_lstm,19,18.807641983032227,46.80641174316406
CNN-LSTM,cnn_lstm,20,18.225557327270508,47.836639404296875
CNN-LSTM,cnn_lstm,21,16.776395797729492,44.61778259277344
CNN-LSTM,cnn_lstm,22,14.86632251739502,42.26328659057617
CNN-LSTM,cnn_lstm,23,14.646647453308105,42.824729919433594
CNN-LSTM,cnn_lstm,24,13.702324867248535,41.24985885620117
Transformer,transformer,1,8.649995803833008,33.424720764160156
Transformer,transformer,2,8.959917068481445,33.983978271484375
Transformer,transformer,3,9.241449356079102,34.576988220214844
Transformer,transformer,4,9.381050109863281,33.56484603881836
Transformer,transformer,5,9.994279861450195,34.06938552856445
Transformer,transformer,6,10.398043632507324,35.122039794921875
Transformer,transformer,7,12.792420387268066,39.41356658935547
Transformer,transformer,8,15.296364784240723,42.87811279296875
Transformer,transformer,9,15.076789855957031,40.98881149291992
Transformer,transformer,10,16.206180572509766,43.065589904785156
Transformer,transformer,11,16.962636947631836,45.058414459228516
Transformer,transformer,12,16.980592727661133,48.738548278808594
Transformer,transformer,13,16.698225021362305,43.68471145629883
Transformer,transformer,14,16.341960906982422,41.1146354675293
Transformer,transformer,15,16.279226303100586,41.302833557128906
Transformer,transformer,16,16.33488655090332,41.38682556152344
Transformer,transformer,17,15.545194625854492,40.29682922363281
Transformer,transformer,18,15.81876277923584,40.64908981323242
Transformer,transformer,19,15.093624114990234,40.41522216796875
Transformer,transformer,20,14.819518089294434,41.90673065185547
Transformer,transformer,21,14.81325912475586,41.48447036743164
Transformer,transformer,22,13.526762008666992,39.706295013427734
Transformer,transformer,23,13.719398498535156,41.361915588378906
Transformer,transformer,24,12.486000061035156,39.532020568847656
Attn-LSTM,attn_lstm,1,9.460210800170898,36.32217025756836
Attn-LSTM,attn_lstm,2,9.443619728088379,35.791839599609375
Attn-LSTM,attn_lstm,3,9.637606620788574,36.39872741699219
Attn-LSTM,attn_lstm,4,9.802083015441895,35.597007751464844
Attn-LSTM,attn_lstm,5,10.400958061218262,36.11164855957031
Attn-LSTM,attn_lstm,6,10.885648727416992,36.83272933959961
Attn-LSTM,attn_lstm,7,13.88826847076416,40.953800201416016
Attn-LSTM,attn_lstm,8,14.471341133117676,40.864437103271484
Attn-LSTM,attn_lstm,9,15.010501861572266,40.27120590209961
Attn-LSTM,attn_lstm,10,16.073606491088867,42.41608810424805
Attn-LSTM,attn_lstm,11,16.990947723388672,44.929901123046875
Attn-LSTM,attn_lstm,12,17.11282730102539,49.02710723876953
Attn-LSTM,attn_lstm,13,16.815771102905273,44.179298400878906
Attn-LSTM,attn_lstm,14,16.461841583251953,41.718082427978516
Attn-LSTM,attn_lstm,15,16.376110076904297,41.71031951904297
Attn-LSTM,attn_lstm,16,16.688283920288086,42.0318603515625
Attn-LSTM,attn_lstm,17,16.343549728393555,41.616573333740234
Attn-LSTM,attn_lstm,18,16.656538009643555,42.184104919433594
Attn-LSTM,attn_lstm,19,16.18080711364746,42.27849578857422
Attn-LSTM,attn_lstm,20,15.151623725891113,43.39439392089844
Attn-LSTM,attn_lstm,21,15.406900405883789,42.99517059326172
Attn-LSTM,attn_lstm,22,14.21048355102539,41.664588928222656
Attn-LSTM,attn_lstm,23,13.954972267150879,42.13774108886719
Attn-LSTM,attn_lstm,24,12.810540199279785,40.61585998535156
TFT,tft,1,9.075065612792969,34.43963623046875
TFT,tft,2,9.210016250610352,34.83720779418945
TFT,tft,3,9.491381645202637,35.69191360473633
TFT,tft,4,9.822774887084961,35.30904006958008
TFT,tft,5,11.001163482666016,36.70845413208008
TFT,tft,6,11.981274604797363,37.60106658935547
TFT,tft,7,20.556833267211914,58.29900360107422
TFT,tft,8,16.159255981445312,43.448612213134766
TFT,tft,9,15.711443901062012,42.04169845581055
TFT,tft,10,16.719482421875,43.57114791870117
TFT,tft,11,17.468746185302734,45.76169967651367
TFT,tft,12,17.69222068786621,49.323387145996094
TFT,tft,13,17.471603393554688,44.376426696777344
TFT,tft,14,17.564420700073242,42.5255241394043
TFT,tft,15,17.194936752319336,42.34111022949219
TFT,tft,16,17.794708251953125,43.204830169677734
TFT,tft,17,17.92022132873535,43.67372131347656
TFT,tft,18,18.62574577331543,45.63329315185547
TFT,tft,19,18.54305076599121,47.5330696105957
TFT,tft,20,17.0064640045166,47.16486740112305
TFT,tft,21,16.326784133911133,44.65034484863281
TFT,tft,22,14.690552711486816,42.421974182128906
TFT,tft,23,13.832362174987793,41.70917892456055
TFT,tft,24,13.237883567810059,40.3621940612793
